"date","owner","repo","views_count","views_uniques","clones_count","clones_uniques"
"2026-02-22","asgr","celestial",0,0,2,2
"2026-02-22","asgr","hyper.fit",0,0,2,2
"2026-02-22","asgr","magicaxis",8,2,12,8
"2026-02-22","asgr","ProFound",5,4,6,5
"2026-02-22","asgr","ProGeny",0,0,15,11
"2026-02-22","asgr","ProSpect",3,1,4,4
"2026-02-22","asgr","ProUtils",0,0,0,0
"2026-02-22","asgr","Rfits",1,1,43,18
"2026-02-22","asgr","sphereplot",0,0,1,1
"2026-02-22","ICRAR","ProFit",0,0,3,2
"2026-02-23","asgr","celestial",0,0,0,0
"2026-02-23","asgr","Highlander",0,0,0,0
"2026-02-23","asgr","hyper.fit",0,0,0,0
"2026-02-23","asgr","magicaxis",17,1,5,3
"2026-02-23","asgr","ParmOff",0,0,0,0
"2026-02-23","asgr","ProFound",7,3,8,7
"2026-02-23","asgr","ProFuse",0,0,0,0
"2026-02-23","asgr","ProGeny",41,1,116,35
"2026-02-23","asgr","ProPane",0,0,0,0
"2026-02-23","asgr","ProSpect",113,3,174,38
"2026-02-23","asgr","ProSpectData",2,1,0,0
"2026-02-23","asgr","ProUtils",0,0,0,0
"2026-02-23","asgr","Rfits",60,4,53,20
"2026-02-23","asgr","Rwcs",14,1,26,13
"2026-02-23","asgr","sphereplot",0,0,0,0
"2026-02-23","ICRAR","ProFit",49,2,147,35
"2026-02-24","asgr","celestial",31,2,64,23
"2026-02-24","asgr","Highlander",0,0,1,1
"2026-02-24","asgr","hyper.fit",0,0,1,1
"2026-02-24","asgr","magicaxis",1,1,20,10
"2026-02-24","asgr","ParmOff",0,0,1,1
"2026-02-24","asgr","ProFound",3,3,0,0
"2026-02-24","asgr","ProFuse",76,2,109,30
"2026-02-24","asgr","ProGeny",14,3,22,6
"2026-02-24","asgr","ProPane",87,1,125,37
"2026-02-24","asgr","ProSpect",2,2,2,2
"2026-02-24","asgr","ProSpectData",0,0,0,0
"2026-02-24","asgr","ProUtils",19,1,110,26
"2026-02-24","asgr","Rfits",8,1,21,8
"2026-02-24","asgr","Rwcs",1,1,44,13
"2026-02-24","asgr","sphereplot",0,0,0,0
"2026-02-24","ICRAR","ProFit",3,2,2,2
"2026-02-25","asgr","celestial",7,3,21,10
"2026-02-25","asgr","Highlander",93,1,161,43
"2026-02-25","asgr","hyper.fit",53,1,106,28
"2026-02-25","asgr","magicaxis",4,1,17,9
"2026-02-25","asgr","ParmOff",28,1,60,20
"2026-02-25","asgr","ProFound",3,3,1,1
"2026-02-25","asgr","ProFuse",0,0,3,2
"2026-02-25","asgr","ProGeny",1,1,2,2
"2026-02-25","asgr","ProPane",23,1,93,20
"2026-02-25","asgr","ProSpect",4,1,1,1
"2026-02-25","asgr","ProSpectData",39,1,52,12
"2026-02-25","asgr","ProUtils",1,1,3,3
"2026-02-25","asgr","Rfits",3,1,2,2
"2026-02-25","asgr","Rwcs",3,1,22,8
"2026-02-25","asgr","sphereplot",38,1,82,26
"2026-02-25","ICRAR","ProFit",3,2,0,0
"2026-02-26","asgr","celestial",6,2,3,3
"2026-02-26","asgr","Highlander",13,1,28,11
"2026-02-26","asgr","hyper.fit",6,1,28,12
"2026-02-26","asgr","magicaxis",2,1,3,3
"2026-02-26","asgr","ParmOff",0,0,1,1
"2026-02-26","asgr","ProFound",54,5,61,23
"2026-02-26","asgr","ProFuse",17,1,42,14
"2026-02-26","asgr","ProGeny",16,1,44,16
"2026-02-26","asgr","ProPane",16,1,35,13
"2026-02-26","asgr","ProSpect",16,3,38,11
"2026-02-26","asgr","ProSpectData",10,2,33,16
"2026-02-26","asgr","ProUtils",3,1,1,1
"2026-02-26","asgr","Rfits",16,2,37,15
"2026-02-26","asgr","Rwcs",10,1,47,18
"2026-02-26","asgr","sphereplot",4,1,3,3
"2026-02-26","ICRAR","ProFit",11,5,23,11
"2026-02-27","asgr","celestial",4,3,0,0
"2026-02-27","asgr","Highlander",0,0,2,2
"2026-02-27","asgr","hyper.fit",0,0,2,2
"2026-02-27","asgr","magicaxis",8,1,0,0
"2026-02-27","asgr","ParmOff",0,0,2,2
"2026-02-27","asgr","ProFound",2,1,2,2
"2026-02-27","asgr","ProFuse",1,1,2,2
"2026-02-27","asgr","ProGeny",0,0,3,3
"2026-02-27","asgr","ProPane",0,0,0,0
"2026-02-27","asgr","ProSpect",2,2,1,1
"2026-02-27","asgr","ProSpectData",1,1,2,2
"2026-02-27","asgr","ProUtils",0,0,0,0
"2026-02-27","asgr","Rfits",4,3,2,2
"2026-02-27","asgr","Rwcs",7,1,2,2
"2026-02-27","asgr","sphereplot",1,1,0,0
"2026-02-27","ICRAR","ProFit",1,1,0,0
"2026-02-28","asgr","celestial",2,1,0,0
"2026-02-28","asgr","Highlander",0,0,1,1
"2026-02-28","asgr","hyper.fit",0,0,0,0
"2026-02-28","asgr","magicaxis",0,0,0,0
"2026-02-28","asgr","ParmOff",0,0,0,0
"2026-02-28","asgr","ProFound",1,1,0,0
"2026-02-28","asgr","ProFuse",0,0,0,0
"2026-02-28","asgr","ProGeny",0,0,0,0
"2026-02-28","asgr","ProPane",0,0,0,0
"2026-02-28","asgr","ProSpect",6,1,0,0
"2026-02-28","asgr","ProSpectData",0,0,1,1
"2026-02-28","asgr","ProUtils",0,0,1,1
"2026-02-28","asgr","Rfits",0,0,0,0
"2026-02-28","asgr","Rwcs",0,0,1,1
"2026-02-28","asgr","sphereplot",0,0,0,0
"2026-02-28","ICRAR","ProFit",0,0,2,2
"2026-03-01","asgr","celestial",1,1,0,0
"2026-03-01","asgr","Highlander",0,0,0,0
"2026-03-01","asgr","hyper.fit",0,0,1,1
"2026-03-01","asgr","magicaxis",0,0,2,2
"2026-03-01","asgr","ParmOff",0,0,1,1
"2026-03-01","asgr","ProFound",0,0,0,0
"2026-03-01","asgr","ProFuse",0,0,0,0
"2026-03-01","asgr","ProGeny",0,0,3,1
"2026-03-01","asgr","ProPane",0,0,2,1
"2026-03-01","asgr","ProSpect",1,1,2,2
"2026-03-01","asgr","ProSpectData",0,0,1,1
"2026-03-01","asgr","ProUtils",0,0,3,3
"2026-03-01","asgr","Rfits",0,0,0,0
"2026-03-01","asgr","Rwcs",0,0,0,0
"2026-03-01","asgr","sphereplot",0,0,0,0
"2026-03-01","ICRAR","ProFit",0,0,1,1
"2026-03-02","asgr","celestial",0,0,0,0
"2026-03-02","asgr","Highlander",0,0,0,0
"2026-03-02","asgr","hyper.fit",0,0,0,0
"2026-03-02","asgr","magicaxis",0,0,1,1
"2026-03-02","asgr","ParmOff",0,0,0,0
"2026-03-02","asgr","ProFound",1,1,1,1
"2026-03-02","asgr","ProFuse",0,0,0,0
"2026-03-02","asgr","ProGeny",0,0,1,1
"2026-03-02","asgr","ProPane",0,0,1,1
"2026-03-02","asgr","ProSpect",1,1,3,3
"2026-03-02","asgr","ProSpectData",0,0,0,0
"2026-03-02","asgr","ProUtils",0,0,2,2
"2026-03-02","asgr","Rfits",0,0,1,1
"2026-03-02","asgr","Rwcs",0,0,1,1
"2026-03-02","asgr","sphereplot",0,0,2,2
"2026-03-02","ICRAR","ProFit",2,2,5,5
"2026-03-03","asgr","celestial",0,0,0,0
"2026-03-03","asgr","Highlander",0,0,0,0
"2026-03-03","asgr","hyper.fit",0,0,0,0
"2026-03-03","asgr","magicaxis",0,0,0,0
"2026-03-03","asgr","ParmOff",0,0,0,0
"2026-03-03","asgr","ProFound",0,0,0,0
"2026-03-03","asgr","ProFuse",0,0,1,1
"2026-03-03","asgr","ProGeny",0,0,0,0
"2026-03-03","asgr","ProPane",0,0,0,0
"2026-03-03","asgr","ProSpect",3,2,0,0
"2026-03-03","asgr","ProSpectData",1,1,0,0
"2026-03-03","asgr","ProUtils",0,0,0,0
"2026-03-03","asgr","Rfits",1,1,1,1
"2026-03-03","asgr","Rwcs",0,0,0,0
"2026-03-03","asgr","sphereplot",0,0,0,0
"2026-03-03","ICRAR","ProFit",1,1,0,0
"2026-03-04","asgr","celestial",9,2,1,1
"2026-03-04","asgr","Highlander",0,0,1,1
"2026-03-04","asgr","hyper.fit",0,0,2,2
"2026-03-04","asgr","magicaxis",1,1,1,1
"2026-03-04","asgr","ParmOff",0,0,0,0
"2026-03-04","asgr","ProFound",8,3,22,7
"2026-03-04","asgr","ProFuse",0,0,3,3
"2026-03-04","asgr","ProGeny",0,0,1,1
"2026-03-04","asgr","ProPane",0,0,1,1
"2026-03-04","asgr","ProSpect",6,1,2,2
"2026-03-04","asgr","ProSpectData",0,0,0,0
"2026-03-04","asgr","ProUtils",1,1,0,0
"2026-03-04","asgr","Rfits",1,1,1,1
"2026-03-04","asgr","Rwcs",0,0,1,1
"2026-03-04","asgr","sphereplot",0,0,0,0
"2026-03-04","ICRAR","ProFit",19,5,2,2
